2026-09-08 04:13:22.671,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0.0,0.0,0.0,,,,N/A,,,,N/A
2026-09-08 04:13:23.236,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0.0,0.0,0.0,,,,N/A,,,,N/A
2026-09-08 04:13:23.806,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0.0,0.0,0.0,,,,N/A,,,,N/A
2026-09-08 04:13:24.403,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0.0,0.0,0.0,,,,N/A,,,,N/A
2026-09-08 04:13:24.977,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0.0,0.0,0.0,,,,N/A,,,,N/A
2026-09-08 04:13:25.493,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0.0,0.0,0.0,,,,N/A,,,,N/A
2026-09-08 04:13:26.029,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0.0,0.0,0.0,,,,N/A,,,,N/A
2026-09-08 04:13:26.543,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0.0,0.0,0.0,,,,N/A,,,,N/A
2026-09-08 04:13:27.074,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0.0,0.0,0.0,,,,N/A,,,,N/A
2026-09-08 04:13:27.649,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0.0,0.0,0.0,,,,N/A,,,,N/A
2026-09-08 04:13:28.209,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0.0,0.0,0.0,,,,N/A,,,,N/A
2026-09-08 04:13:28.773,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0.0,0.0,0.0,,,,N/A,,,,N/A
2026-09-08 04:13:29.370,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0.0,0.0,0.0,,,,N/A,,,,N/A
2026-09-08 04:13:29.914,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0.0,0.0,0.0,,,,N/A,,,,N/A
2026-09-08 04:13:30.448,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0.0,0.0,0.0,,,,N/A,,,,N/A
